appliance,start_idx,end_idx,duration_min,energy_kwh
FRIDGE,7117,7158,10.762766666666666,0.0319566805
FRIDGE,9893,9904,2.7512833333333333,0.1355290301851852
FRIDGE,9906,9926,5.01955,0.23958911501851854
FRIDGE,9932,9944,3.0084666666666666,0.14518269299074074
FRIDGE,14862,14964,25.895899999999997,0.6077581100462962
FRIDGE,17593,17618,6.253383333333334,0.15292350611111113
FRIDGE,19730,19773,10.728399999999999,0.5116450485555556
FRIDGE,20505,20525,5.1477666666666675,0.025482874129629653
FRIDGE,24888,24902,3.5976833333333333,0.1760392531203704
FRIDGE,25319,25351,12.038966666666669,0.5332963915185185
FRIDGE,26924,26986,16.177833333333332,0.03832701876851859
FRIDGE,26980,27055,19.091316666666664,0.04690980176851861
FRIDGE,30185,30205,10.232750000000001,0.32173024562037045
FRIDGE,30229,30242,8.736600000000001,0.21557294590740747
FRIDGE,37687,37735,13.774833333333333,0.6989438777777779
FRIDGE,40225,40263,11.535266666666669,0.030622270055555612
FRIDGE,47227,47253,6.5265666666666675,0.05347994092592596
FRIDGE,47255,47258,5.74335,0.12710679068518524
FRIDGE,47457,47475,8.320366666666667,0.516087681324074
FRIDGE,47487,47581,24.49133333333333,0.48601321597222225
FRIDGE,47587,47599,3.0445166666666665,0.1279637161111111
FRIDGE,47836,47915,19.79606666666667,0.03922724598148148
FRIDGE,47907,48028,38.31361666666667,0.05421892578703703
FRIDGE,49941,49978,9.258883333333332,0.20648336668518516
FRIDGE,49945,49986,10.272383333333332,0.2535393620925926
FRIDGE,52907,53027,31.790149999999997,0.724306079138889
FRIDGE,57059,57077,4.5054333333333325,0.19597067061111112
FRIDGE,57260,57302,10.757116666666667,0.497945040287037
FRIDGE,57525,57535,2.5271,0.12497393794444446
FRIDGE,57546,57558,3.001716666666667,0.15093120712037036
FRIDGE,57560,57591,8.043366666666667,0.40012657133333335
FRIDGE,57587,57608,5.207450000000001,0.24931749340740744
FRIDGE,57722,57776,13.814983333333334,0.034631840259259264
FRIDGE,67184,67327,35.76668333333334,0.20264470445370367
AC,9864,9974,27.79378333333333,1.3098704470833333
AC,14842,14877,8.77075,0.3525205152962963
AC,14927,14987,15.008683333333332,0.6529806698333332
AC,19681,19811,33.757466666666666,1.4914061177685187
AC,20064,20118,13.822266666666668,0.6211939913518518
AC,20234,20285,14.051716666666666,0.6164692671018518
AC,24864,24972,27.341433333333335,1.3106575021759264
AC,25129,25181,13.481066666666669,0.6076804606944444
AC,25307,25362,18.022949999999994,0.7674843830833333
AC,30173,30194,41.682916666666664,1.856228618666667
AC,30340,30388,11.975433333333333,0.5461858802407408
AC,30558,30596,12.48795,0.5344834746481482
AC,33366,33412,15.452266666666667,0.7353799458611111
AC,37644,37766,34.05516666666667,1.6613996759351854
AC,47391,47607,60.06678333333334,2.1507918438148153
AC,52883,52940,14.442733333333333,0.6117251537222222
AC,53004,53063,16.46463333333333,1.1590644354814814
AC,57037,57084,11.750316666666667,0.48446475217592594
AC,57245,57319,19.259916666666662,0.851076569925926
AC,57519,57619,25.267116666666666,1.187914873861111
AC,58935,58990,15.247016666666665,0.7562015811203702
AC,66964,67017,13.264233333333332,0.5592471307037037
AC,67091,67143,13.160266666666669,0.9644225591481482
AC,67108,67193,21.28356666666667,1.3681583884629633
KETTLE,14422,14440,6.50875,0.2561566064907408
KETTLE,15340,15362,6.56845,0.1946315757962963
KETTLE,15378,15381,0.7338833333333333,0.015816616453703705
KETTLE,15385,15388,0.7471,0.016661781833333333
KETTLE,15398,15425,7.316966666666667,0.2265955724814815
KETTLE,17542,17564,5.563633333333333,0.1937996247222222
KETTLE,17588,17599,2.75435,0.08100109891666667
KETTLE,17605,17631,6.476983333333334,0.1937007830555556
KETTLE,22955,22972,5.821316666666666,0.19636101157407412
KETTLE,22997,23005,1.95065,0.06104383195370371
KETTLE,23016,23044,8.004950000000001,0.24977218745370375
KETTLE,30224,30232,1.9402333333333333,0.04886413372222223
KETTLE,30237,30254,8.739866666666666,0.26210436425925926
KETTLE,32995,33000,2.853616666666667,0.011480797157407421
KETTLE,47207,47230,7.772333333333331,0.19121280437037041
KETTLE,47248,47282,13.524149999999999,0.34266426883333334
KETTLE,49894,49919,6.500466666666667,0.1917885136574074
KETTLE,49963,49994,7.752883333333333,0.23244072083333334
KETTLE,55568,55592,6.139283333333333,0.17615839725
KETTLE,55617,55630,3.252883333333334,0.08172045555555556
KETTLE,55638,55669,8.425716666666665,0.2572804255
KETTLE,59770,59788,4.49795,0.1399768255462963
KETTLE,59818,59832,3.501983333333334,0.09269758928703706
KETTLE,59840,59867,6.755716666666667,0.21710265697222225
KETTLE,67723,67746,5.751616666666665,0.1859969885833333
KETTLE,67769,67783,3.498983333333334,0.1008995027962963
KETTLE,67786,67811,6.248050000000001,0.21767938426851854
